Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0262-2026","Class II","Aleve 1's, 60 CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0263-2026","Class II","Alka Seltzer, a) Original, 2 tablets per packet in 58 count box, UPC: 815556020033, 016500514473, b) Plus Cold & Flu, 2 tablets per packet  in 36 count box, UPC: 016500594932  ","Unknown","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0264-2026","Class II","Benadryl, 25'S 2PK Box, UPC 815556020316 ","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0265-2026","Class II","Bayer 2Pk- 25 CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0266-2026","Class II","Claritin, 20 Count, UPC: 655708016305 ","Unknown","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0267-2026","Class II","DAYQUIL COLD & FLU, 32CT/2PK","Unknown","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0268-2026","Class II","LIQUID DAYQUIL 12/8oz","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0269-2026","Class II","EXCEDRIN 2'S DISP.- 30 CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0270-2026","Class II","EXCEDRIN MIGRAINE 2'S- 25 CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
"Drugs","No","","98239","Ongoing","GOLD STAR DISTRIBUTION INC","1000 Humboldt Ave N","N/A","Minneapolis","MN","	55411-3964","United States","Voluntary: Firm initiated","Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","US Nationwide.","D-0271-2026","Class II","MOTRIN 2'S DISP.- 50CT","N/A","CGMP Deviations: Insanitary conditions including rodent exposure/activity in their distribution center.","12/26/2025","01/14/2026","N/A","01/21/2026","All lots within expiry distributed by Gold Star Distribution."
