Product Type,Recently Updated Record,Last Modified Date,Event ID,Status,Recalling Firm,Address1,Address2,City,State/Province,Postal Code,Country,Voluntary/Mandated,Initial Firm Notification of Consignee or Public,Distribution Pattern,Recall Number,Classification,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0376-2017","Class II","MIC+B12(M)+Carnitine 12.5 mg/50 mg/100 mg/1 mg/50 mg/mL Injectable, 30 mL vial, Compounded by Wells Pharmacy, Ocala, FL","159","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 03252016@5, 04192016@8, 05242016@15, 06222016@28, 08102016@2."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0377-2017","Class II","Mitomycin Solution Injectable, Sterile 0.02%, 200 mcg/mL, 1 mL syringe, Compounded by Wells Pharmacy, Ocala, FL","122 syringes","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 04142016@107, 05242016@128"
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0378-2017","Class II","Mitomycin Solution Injectable, Sterile 0.04%, 400 mcg/mL, 1 mL syringe, Compounded by Wells Pharmacy, Ocala, FL","41 syringes","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 05022016@160"
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0379-2017","Class II","Mitomycin 20 mg  Injectable, Lyophilized (Buffered), 1 mL vial, Kit, Compounded by Wells Pharmacy, Ocala, FL","315 kits (number of vials per kit vary by prescription)","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known kit lot code: 05122016@84, 07012016@107.  Known vial lot code: 04212016@149, 06082016@7."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0380-2017","Class II","Mitomycin 40 mg Injectable, Lyophilized (Buffered), 1 mL vial, Kit, Compounded by Wells Pharmacy, Ocala, FL","2,336 kits (number of vials per kit vary by prescription)","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known kit lot code: 04112016@201, 04202016@33, 05182016@46, 05232016@227, 06072016@55, 06092016@88, 06142016@60, 07012016@112, 07132016@142, 07292016@121, 07292016@129.  Known vial lot code: 04062016@106, 04182016@10, 04262016@56, 05022016@189, 05102016@54, 05192016@84, 05242016@135, 06232016@70, 07012016@112, 07072016@94."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0381-2017","Class II","NADH/Carnitine/Taurine/B12(M) Injectable, 100 mg/150 mg/150 mg/10 mg, Lyophilized Kit, Compounded by Wells Pharmacy, Ocala, FL","219 kits (number of vials per kit vary by prescription)","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known kit lot code: 04072016@29, 08122016@103.  Known vial lot code: 03302016@13, 03252016@16, 08082016@58, 08082016@67."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0382-2017","Class II","Nandrolone Decanote (H), 200 mg/mL Injectable, 10 mL vial, Compounded by Wells Pharmacy, Ocala, FL","526 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     Known lot code: 04112016@16, 04282016@3, 05202016@6, 06132016@4, 07052016@1, 07272016@7."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0383-2017","Class II","QUAD1(PAP/PHEN/ALPROS/ATRO) 0.9 mg/0.2 mg/20 mcg/0.01 mg/mL Injectable, a) 2 mL and b) 5 mL vials,  Compounded by Wells Pharmacy, Ocala, FL","a) 1,165 vials b) 2,217 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     a) Known lot code: 04122016@17, 04142016@14, 05112016@23, 06072016@17, 06232016@13, 07122016@41, 08052016@12    b) Known lot code: 03242016@8, 04142016@15, 05032016@11, 05262016@12, 06242016@11, 07122016@42, 08052016@11."
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0384-2017","Class II","QUAD2 (PAP/PHEN/ALPROS/ATRO) 9 mg/1 mg/10 mg/0.1 mg/mL Injectable a) 2 mL and b) 5 mL vial, Compounded by Wells Pharmacy, Ocala, FL","a) 191 vials and b) 794 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     a) Known lot code: 04222016@8, 06142016@42, 08152016@17    b) Known lot code: 03312016@8, 05182016@15, 08092016@18"
"Drugs","No","","75289","Terminated","Wells Pharmacy Network LLC","1210 SW 33rd Ave","N/A","Ocala","FL","	34474-2853","United States","Voluntary: Firm initiated","Press Release","Nationwide","D-0385-2017","Class II","QUAD4 (PAP/PHEN/ALPROS/ATRO) 30 mg/3 mg/60 mcg/0.2 mg/mL Injectable, a) 2 mL and b) 5 mL vials, Compounded by Wells Pharmacy, Ocala, FL","114 vials and b) 1,017 vials","Lack of Assurance of Sterility","09/21/2016","01/04/2017","07/02/2021","01/11/2017","All lot codes of product prepared between 02/22/2016 and 09/14/2016, within expiry.     a) Known lot code: 04072016@8, 06272016@22, 09082016@29    b) Known lot code: 04142016@16, 04272016@8, 06102016@13, 07062016@29, 08052016@1."
